park_id,date,weekday,hour,occupacy_percentage
32,2017-09-04,Mon,19:00:00,7.7
32,2017-09-04,Mon,19:30:00,7.7
32,2017-09-04,Mon,20:00:00,7.7
32,2017-09-04,Mon,20:30:00,7.7
32,2017-09-04,Mon,21:00:00,7.7
32,2017-09-04,Mon,21:30:00,7.7
32,2017-09-04,Mon,22:00:00,7.7
32,2017-09-04,Mon,22:30:00,0.0
32,2017-09-04,Mon,23:00:00,0.0
32,2017-09-04,Mon,23:30:00,0.0
32,2017-09-05,Tue,00:00:00,0.0
32,2017-09-05,Tue,00:30:00,0.0
32,2017-09-05,Tue,01:00:00,0.0
32,2017-09-05,Tue,01:30:00,0.0
32,2017-09-05,Tue,02:00:00,0.0
32,2017-09-05,Tue,02:30:00,0.0
32,2017-09-05,Tue,03:00:00,0.0
32,2017-09-05,Tue,03:30:00,0.0
32,2017-09-05,Tue,04:00:00,0.0
32,2017-09-05,Tue,04:30:00,0.0
32,2017-09-05,Tue,05:00:00,0.0
32,2017-09-05,Tue,05:30:00,0.0
32,2017-09-05,Tue,06:00:00,0.0
32,2017-09-05,Tue,06:30:00,0.0
32,2017-09-05,Tue,07:00:00,0.0
32,2017-09-05,Tue,07:30:00,0.0
32,2017-09-05,Tue,08:00:00,7.7
32,2017-09-05,Tue,08:30:00,7.7
32,2017-09-05,Tue,09:00:00,7.7
32,2017-09-05,Tue,09:30:00,23.1
32,2017-09-05,Tue,10:00:00,23.1
32,2017-09-05,Tue,10:30:00,23.1
32,2017-09-05,Tue,11:00:00,23.1
32,2017-09-05,Tue,11:30:00,23.1
32,2017-09-05,Tue,12:00:00,23.1
32,2017-09-05,Tue,12:30:00,23.1
32,2017-09-05,Tue,13:00:00,23.1
32,2017-09-05,Tue,13:30:00,23.1
32,2017-09-05,Tue,14:00:00,7.7
32,2017-09-05,Tue,14:30:00,7.7
32,2017-09-05,Tue,15:00:00,7.7
32,2017-09-05,Tue,15:30:00,30.8
32,2017-09-05,Tue,16:00:00,30.8
32,2017-09-05,Tue,16:30:00,30.8
32,2017-09-05,Tue,17:00:00,15.4
32,2017-09-05,Tue,17:30:00,15.4
32,2017-09-05,Tue,18:00:00,15.4
32,2017-09-05,Tue,18:30:00,15.4
32,2017-09-05,Tue,19:00:00,15.4
32,2017-09-05,Tue,19:30:00,7.7
32,2017-09-05,Tue,20:00:00,7.7
32,2017-09-05,Tue,20:30:00,7.7
32,2017-09-05,Tue,21:00:00,7.7
32,2017-09-05,Tue,21:30:00,7.7
32,2017-09-05,Tue,22:00:00,0.0
32,2017-09-05,Tue,22:30:00,0.0
32,2017-09-05,Tue,23:00:00,0.0
